x,y,point_name
0.0,0.0,pt_00
1.0,0.0,pt_10
2.0,0.0,pt_20
3.0,0.0,pt_30
4.0,0.0,pt_40
5.0,0.0,pt_50
6.0,0.0,pt_60
0.0,1.0,pt_01
1.0,1.0,pt_11
2.0,1.0,pt_21
3.0,1.0,pt_31
4.0,1.0,pt_41
5.0,1.0,pt_51
6.0,1.0,pt_61
0.0,2.0,pt_02
1.0,2.0,pt_12
2.0,2.0,pt_22
3.0,2.0,pt_32
4.0,2.0,pt_42
5.0,2.0,pt_52
6.0,2.0,pt_62
0.0,3.0,pt_03
1.0,3.0,pt_13
2.0,3.0,pt_23
3.0,3.0,pt_33
4.0,3.0,pt_43
5.0,3.0,pt_53
6.0,3.0,pt_63
0.0,4.0,pt_04
1.0,4.0,pt_14
2.0,4.0,pt_24
3.0,4.0,pt_34
4.0,4.0,pt_44
5.0,4.0,pt_54
6.0,4.0,pt_64
