point_name,x,y,alias,mean_rssi
pt_00,0.0,0.0,WiSentinel-AP1,-10.0
pt_00,0.0,0.0,WiSentinel-AP2,-31.0
pt_00,0.0,0.0,WiSentinel-AP3,-33.0
pt_00,0.0,0.0,WiSentinel-AP4,-31.666666666666668
pt_01,0.0,1.0,WiSentinel-AP1,-10.0
pt_01,0.0,1.0,WiSentinel-AP2,-32.0
pt_01,0.0,1.0,WiSentinel-AP3,-33.666666666666664
pt_01,0.0,1.0,WiSentinel-AP4,-31.666666666666668
pt_02,0.0,2.0,WiSentinel-AP1,-10.0
pt_02,0.0,2.0,WiSentinel-AP2,-31.333333333333332
pt_02,0.0,2.0,WiSentinel-AP3,-32.0
pt_02,0.0,2.0,WiSentinel-AP4,-30.0
pt_03,0.0,3.0,WiSentinel-AP1,-10.0
pt_03,0.0,3.0,WiSentinel-AP2,-30.333333333333332
pt_03,0.0,3.0,WiSentinel-AP3,-32.666666666666664
pt_03,0.0,3.0,WiSentinel-AP4,-30.0
pt_04,0.0,4.0,WiSentinel-AP1,-10.0
pt_04,0.0,4.0,WiSentinel-AP2,-31.666666666666668
pt_04,0.0,4.0,WiSentinel-AP3,-33.333333333333336
pt_04,0.0,4.0,WiSentinel-AP4,-30.666666666666668
pt_10,1.0,0.0,WiSentinel-AP1,-10.0
pt_10,1.0,0.0,WiSentinel-AP2,-31.0
pt_10,1.0,0.0,WiSentinel-AP3,-33.0
pt_10,1.0,0.0,WiSentinel-AP4,-31.333333333333332
pt_11,1.0,1.0,WiSentinel-AP1,-10.0
pt_11,1.0,1.0,WiSentinel-AP2,-31.666666666666668
pt_11,1.0,1.0,WiSentinel-AP3,-32.666666666666664
pt_11,1.0,1.0,WiSentinel-AP4,-30.0
pt_12,1.0,2.0,WiSentinel-AP1,-10.0
pt_12,1.0,2.0,WiSentinel-AP2,-31.666666666666668
pt_12,1.0,2.0,WiSentinel-AP3,-34.0
pt_12,1.0,2.0,WiSentinel-AP4,-29.666666666666668
pt_13,1.0,3.0,WiSentinel-AP1,-10.0
pt_13,1.0,3.0,WiSentinel-AP2,-30.333333333333332
pt_13,1.0,3.0,WiSentinel-AP3,-32.0
pt_13,1.0,3.0,WiSentinel-AP4,-30.333333333333332
pt_14,1.0,4.0,WiSentinel-AP1,-10.0
pt_14,1.0,4.0,WiSentinel-AP2,-31.0
pt_14,1.0,4.0,WiSentinel-AP3,-32.333333333333336
pt_14,1.0,4.0,WiSentinel-AP4,-30.0
pt_20,2.0,0.0,WiSentinel-AP1,-10.0
pt_20,2.0,0.0,WiSentinel-AP2,-31.333333333333332
pt_20,2.0,0.0,WiSentinel-AP3,-32.333333333333336
pt_20,2.0,0.0,WiSentinel-AP4,-30.666666666666668
pt_21,2.0,1.0,WiSentinel-AP1,-10.0
pt_21,2.0,1.0,WiSentinel-AP2,-31.0
pt_21,2.0,1.0,WiSentinel-AP3,-32.0
pt_21,2.0,1.0,WiSentinel-AP4,-30.666666666666668
pt_22,2.0,2.0,WiSentinel-AP1,-10.0
pt_22,2.0,2.0,WiSentinel-AP2,-30.666666666666668
pt_22,2.0,2.0,WiSentinel-AP3,-32.666666666666664
pt_22,2.0,2.0,WiSentinel-AP4,-29.666666666666668
pt_23,2.0,3.0,WiSentinel-AP1,-10.0
pt_23,2.0,3.0,WiSentinel-AP2,-30.0
pt_23,2.0,3.0,WiSentinel-AP3,-31.666666666666668
pt_23,2.0,3.0,WiSentinel-AP4,-30.666666666666668
pt_24,2.0,4.0,WiSentinel-AP1,-10.0
pt_24,2.0,4.0,WiSentinel-AP2,-31.666666666666668
pt_24,2.0,4.0,WiSentinel-AP3,-32.666666666666664
pt_24,2.0,4.0,WiSentinel-AP4,-30.666666666666668
pt_30,3.0,0.0,WiSentinel-AP1,-10.0
pt_30,3.0,0.0,WiSentinel-AP2,-31.0
pt_30,3.0,0.0,WiSentinel-AP3,-32.0
pt_30,3.0,0.0,WiSentinel-AP4,-31.333333333333332
pt_31,3.0,1.0,WiSentinel-AP1,-10.0
pt_31,3.0,1.0,WiSentinel-AP2,-31.0
pt_31,3.0,1.0,WiSentinel-AP3,-32.0
pt_31,3.0,1.0,WiSentinel-AP4,-30.333333333333332
pt_32,3.0,2.0,WiSentinel-AP1,-10.0
pt_32,3.0,2.0,WiSentinel-AP2,-30.333333333333332
pt_32,3.0,2.0,WiSentinel-AP3,-33.333333333333336
pt_32,3.0,2.0,WiSentinel-AP4,-29.666666666666668
pt_33,3.0,3.0,WiSentinel-AP1,-10.0
pt_33,3.0,3.0,WiSentinel-AP2,-31.333333333333332
pt_33,3.0,3.0,WiSentinel-AP3,-32.0
pt_33,3.0,3.0,WiSentinel-AP4,-30.333333333333332
pt_34,3.0,4.0,WiSentinel-AP1,-10.0
pt_34,3.0,4.0,WiSentinel-AP2,-31.333333333333332
pt_34,3.0,4.0,WiSentinel-AP3,-32.0
pt_34,3.0,4.0,WiSentinel-AP4,-29.0
pt_40,4.0,0.0,WiSentinel-AP1,-10.0
pt_40,4.0,0.0,WiSentinel-AP2,-31.0
pt_40,4.0,0.0,WiSentinel-AP3,-32.666666666666664
pt_40,4.0,0.0,WiSentinel-AP4,-31.0
pt_41,4.0,1.0,WiSentinel-AP1,-10.0
pt_41,4.0,1.0,WiSentinel-AP2,-30.333333333333332
pt_41,4.0,1.0,WiSentinel-AP3,-32.333333333333336
pt_41,4.0,1.0,WiSentinel-AP4,-31.0
pt_42,4.0,2.0,WiSentinel-AP1,-10.0
pt_42,4.0,2.0,WiSentinel-AP2,-30.666666666666668
pt_42,4.0,2.0,WiSentinel-AP3,-33.0
pt_42,4.0,2.0,WiSentinel-AP4,-30.0
pt_43,4.0,3.0,WiSentinel-AP1,-10.0
pt_43,4.0,3.0,WiSentinel-AP2,-32.666666666666664
pt_43,4.0,3.0,WiSentinel-AP3,-34.0
pt_43,4.0,3.0,WiSentinel-AP4,-32.333333333333336
pt_44,4.0,4.0,WiSentinel-AP1,-10.0
pt_44,4.0,4.0,WiSentinel-AP2,-31.0
pt_44,4.0,4.0,WiSentinel-AP3,-32.666666666666664
pt_44,4.0,4.0,WiSentinel-AP4,-29.0
pt_50,5.0,0.0,WiSentinel-AP1,-10.0
pt_50,5.0,0.0,WiSentinel-AP2,-31.333333333333332
pt_50,5.0,0.0,WiSentinel-AP3,-33.0
pt_50,5.0,0.0,WiSentinel-AP4,-31.0
pt_51,5.0,1.0,WiSentinel-AP1,-10.0
pt_51,5.0,1.0,WiSentinel-AP2,-31.0
pt_51,5.0,1.0,WiSentinel-AP3,-32.666666666666664
pt_51,5.0,1.0,WiSentinel-AP4,-30.0
pt_52,5.0,2.0,WiSentinel-AP1,-10.0
pt_52,5.0,2.0,WiSentinel-AP2,-30.333333333333332
pt_52,5.0,2.0,WiSentinel-AP3,-32.666666666666664
pt_52,5.0,2.0,WiSentinel-AP4,-29.666666666666668
pt_53,5.0,3.0,WiSentinel-AP1,-10.0
pt_53,5.0,3.0,WiSentinel-AP2,-31.333333333333332
pt_53,5.0,3.0,WiSentinel-AP3,-34.0
pt_53,5.0,3.0,WiSentinel-AP4,-30.666666666666668
pt_54,5.0,4.0,WiSentinel-AP1,-10.0
pt_54,5.0,4.0,WiSentinel-AP2,-31.0
pt_54,5.0,4.0,WiSentinel-AP3,-32.666666666666664
pt_54,5.0,4.0,WiSentinel-AP4,-30.333333333333332
pt_60,6.0,0.0,WiSentinel-AP1,-10.0
pt_60,6.0,0.0,WiSentinel-AP2,-32.0
pt_60,6.0,0.0,WiSentinel-AP3,-33.666666666666664
pt_60,6.0,0.0,WiSentinel-AP4,-31.0
pt_61,6.0,1.0,WiSentinel-AP1,-10.0
pt_61,6.0,1.0,WiSentinel-AP2,-30.666666666666668
pt_61,6.0,1.0,WiSentinel-AP3,-33.333333333333336
pt_61,6.0,1.0,WiSentinel-AP4,-31.0
pt_62,6.0,2.0,WiSentinel-AP1,-10.0
pt_62,6.0,2.0,WiSentinel-AP2,-31.0
pt_62,6.0,2.0,WiSentinel-AP3,-32.666666666666664
pt_62,6.0,2.0,WiSentinel-AP4,-29.666666666666668
pt_63,6.0,3.0,WiSentinel-AP1,-10.0
pt_63,6.0,3.0,WiSentinel-AP2,-31.333333333333332
pt_63,6.0,3.0,WiSentinel-AP3,-33.666666666666664
pt_63,6.0,3.0,WiSentinel-AP4,-31.666666666666668
pt_64,6.0,4.0,WiSentinel-AP1,-10.0
pt_64,6.0,4.0,WiSentinel-AP2,-30.333333333333332
pt_64,6.0,4.0,WiSentinel-AP3,-31.0
pt_64,6.0,4.0,WiSentinel-AP4,-29.333333333333332
